,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
74,13,Hidalgo,Epazoyucan,,,M13.01,Pachuca,15748,13022,9302.0,11054,13830,16285,98.63620916666667,20.018021666666666,022,Epazoyucan
75,13,Hidalgo,Atitalaquia,,,M13.02,Tula,29387,13010,17626.0,21636,26904,31525,99.22112861111111,20.059154722222225,010,Atitalaquia
76,13,Hidalgo,Pachuca de Soto,,,M13.01,Pachuca,277154,13048,180630.0,245208,267862,314331,98.73700055555555,20.12235972222222,048,Pachuca de Soto
77,14,Jalisco,Tlajomulco de Zúñiga,,,M14.01,Guadalajara,580487,14097,68428.0,123619,416626,727750,103.44305555555556,20.473611111111108,097,Tlajomulco de Zúñiga
78,14,Jalisco,Poncitlán,,,M14.02,Ocotlán,53524,14066,32259.0,40827,48408,53659,102.92416666666666,20.38138888888889,066,Poncitlán
79,14,Jalisco,Acatlán de Juárez,,,M14.01,Guadalajara,24866,14002,14450.0,20236,23241,25250,103.58722222222222,20.42138888888889,002,Acatlán de Juárez
80,14,Jalisco,Jamay,,,M14.02,Ocotlán,25043,14047,19145.0,21157,22881,24894,102.70971694444445,20.294499722222223,047,Jamay
81,14,Jalisco,Ixtlahuacán de los Membrillos,,,M14.01,Guadalajara,57470,14044,16674.0,21605,41060,67969,103.19296611111112,20.34913611111111,044,Ixtlahuacán de los Membrillos
82,14,Jalisco,El Salto,,,M14.01,Guadalajara,164670,14070,38281.0,83453,138226,232852,103.18166666666667,20.519444444444442,070,El Salto
83,14,Jalisco,Juanacatlán,,,M14.01,Guadalajara,14715,14051,10068.0,11792,13218,30855,103.16722222222222,20.509444444444444,051,Juanacatlán
84,14,Jalisco,Ocotlán,,,M14.02,Ocotlán,100546,14063,69646.0,84200,92967,106050,102.76805555555555,20.35138888888889,063,Ocotlán
